Кол-во комнат,"Площадь, м^2",Этаж квартиры,Кол-во этажей в доме,Относительный этаж,"Расстояние до центра, км",Ближайшая станция метро,"Расстояние до ближайшей станции метро, км","Балкон/Лоджия (1, 2)",Чистовая отделка,Проверено в Росреестре,От зайстройщика,Цена,Log_Цена,Log_Площадь,Кол-во комнат_num
1,37.2,15,24,0.625,6.204221523213351,Горки,3.1543795273203963,0,0,0,1,9008356,16.013663260015026,3.6428355156125294,1.0
1,40.6,1,3,0.333333,19.270579729842787,Кремлёвская,18.97812859027907,2,0,0,1,4990863,15.423119599032198,3.728100167267218,1.0
1,43.0,4,9,0.444444,3.4625372035777806,Аметьево,1.0821239054347118,0,0,0,0,11899000,16.291965004977964,3.784189633918261,1.0
1,29.9,12,17,0.705882,1.951753117718628,Суконная слобода,0.5347924800889803,0,0,0,1,15234000,16.53904039555751,3.4307561839036995,1.0
1,35.6,21,25,0.84,8.833398249776666,Дубравная,3.261356040156888,0,0,0,0,8685000,15.977108072798384,3.6000482404073204,1.0
1,46.3,3,8,0.375,1.067373152744839,Площадь Тукая,0.4633562654083236,0,0,0,1,24996600,17.034250413589078,3.856510295497887,1.0
1,41.9,6,23,0.26087,4.593242827660485,Аметьево,2.437843260685544,0,0,0,0,11320164,16.242096206604813,3.758871825933971,1.0
1,39.5,17,19,0.894737,9.032814809962415,Дубравная,3.385179812790988,0,0,0,0,8866000,15.997734407077566,3.7013019741124933,1.0
1,48.6,5,5,1.0,0.758221177655399,Кремлёвская,0.7674016648577123,0,0,0,1,15795000,16.575204055529493,3.903990833730882,1.0
1,52.2,8,10,0.8,2.71725377231751,Суконная слобода,0.3042927225997778,0,0,0,1,26100000,17.077445910607096,3.9740583963475986,1.0
1,33.4,10,10,1.0,8.261119821885691,Авиастроительная,0.9614573268831528,0,0,1,0,7000000,15.76142084987672,3.5380565643793527,1.0
1,38.2,4,4,1.0,0.6725983763172787,Кремлёвская,0.6605354900351046,0,0,0,0,14081040,16.46033984062023,3.6686767467964168,1.0
1,42.7,3,15,0.2,2.7453072856584133,Суконная слобода,0.8441389394812777,1,0,0,1,14863870,16.514444061311337,3.7773481021015445,1.0
1,31.6,9,17,0.529412,13.125020045464847,Дубравная,6.246851895341722,0,0,0,0,6905574,15.747839614349113,3.484312288372662,1.0
1,38.6,4,4,1.0,15.093370439074985,Дубравная,7.8412280386099455,1,1,0,1,10074600,16.125528062035134,3.6788291182604347,1.0
1,33.6,2,13,0.153846,7.867883218889441,Авиастроительная,0.9106187939407998,0,0,0,0,8388932,15.942423895147355,3.543853682063679,1.0
1,21.8,5,27,0.185185,5.474646783799237,Горки,0.5068052413207412,0,1,0,1,8120000,15.909840835290563,3.126760535960395,1.0
1,44.4,7,10,0.7,6.292665517052503,Северный вокзал,0.9810509543579572,0,0,0,0,9700000,16.08763654656639,3.8155121050473024,1.0
1,45.9,4,17,0.235294,5.957155492665508,Горки,2.8070091248188738,2,0,0,1,11654496,16.27120267207753,3.8480176754522337,1.0
1,48.0,4,9,0.444444,2.984451310274556,Суконная слобода,0.6184736968641491,0,0,1,0,13399000,16.41069070990318,3.8918202981106265,1.0
1,32.6,10,18,0.555556,4.794220254394709,Козья слобода,2.9183348335076578,2,0,0,1,11120000,16.224255936714766,3.5145260669691587,1.0
1,39.7,5,5,1.0,0.758221177655399,Кремлёвская,0.7674016648577123,0,0,0,1,13312900,16.404244123045984,3.7062280924485496,1.0
1,38.9,2,22,0.090909,5.688334347229077,Горки,2.00033218807201,0,0,0,0,11000000,16.213405921671733,3.686376323895818,1.0
1,55.1,2,3,0.666667,0.960780627952855,Площадь Тукая,0.8015166324319647,0,0,0,1,24458400,17.01248431405048,4.027135812528651,1.0
1,33.0,2,2,1.0,5.659428003772408,Северный вокзал,1.1328208136363036,0,0,1,0,5000000,15.424948670398354,3.5263605246161616,1.0
1,50.6,2,19,0.105263,3.685840683252179,Козья слобода,1.0382014376656818,0,0,0,0,12650000,16.353167852189184,3.9435216724875173,1.0
1,34.4,7,9,0.777778,14.757246284002548,Авиастроительная,13.578696190234044,0,0,0,1,6850000,15.739759356223798,3.5667118201397288,1.0
1,37.5,3,5,0.6,1.20466546278287,Площадь Тукая,0.5876728751090989,0,0,0,1,19344581,16.777922938232745,3.6506582412937387,1.0
1,73.3,2,6,0.333333,1.9731371163968925,Суконная слобода,1.4522259841215894,1,0,0,1,32631850,17.30079939389899,4.308110951723713,1.0
1,33.4,15,24,0.625,3.2892639500033924,Суконная слобода,1.3889303014277363,0,0,0,1,11443089,16.25289661233927,3.5380565643793527,1.0
1,34.7,1,10,0.1,3.8950552427344456,Яшьлек,0.9926062527990226,0,0,0,0,6800000,15.732433317205148,3.5751506887855933,1.0
